cidade,aeroporto internacional
Roma,Aeroporto Leonardo da Vinci - Fiumicino
Milão,Aeroporto internacional de Malpensa
Veneza,Aeroporto Marco Polo
Bologna,Aeroporto Bologna Guglielmo Marconi
Nápolis,Aeroporto internacional de Nápoles
Câtania,Aeroporto Câtania-Fontanarossa
Milão,Aeroporto de Milão-Linate
Turim,Aeroporto internacional de Turim
Verona,Aeroporto Verona Vilafranca
Pisa,Aeroporto internacional de Pisa
Roma ,Aeroporto internacional Ciampino-G. B. Pastine
Marina Di Camoi,Aeroporto Maria Di Campo
Pescara,Aeroporto internacional de Pescara
Rimini,Aeroporto internacional de Federico Fellini
Ancora,Aeroporto Ancona Falconara