cidade de entrada,rota 1,rota 2,rota 3,rota 4,rota 5,cidade de termino,descrição
roma,"Roma: Inicie sua jornada explorando a Cidade Eterna, visitando o Coliseu, o Fórum Romano, o Vaticano com a Basílica de São Pedro e a Capela Sistina, entre outros pontos turísticos.","Siena: Faça uma parada em Siena, uma cidade medieval conhecida por sua bela Piazza del Campo e pela Catedral de Siena. Explore o centro histórico e aproveite a atmosfera encantadora.","Florença: Continue para Florença, o berço do Renascimento. Explore a Galeria Uffizi, o Duomo, a Ponte Vecchio e aproveite a riqueza artística e cultural da cidade.","Lucca: Siga para Lucca, uma cidade murada com um centro histórico bem preservado. Passeie pelas muralhas, visite a Piazza dell'Anfiteatro e aproveite a arquitetura medieval.","Pisa: Finalmente, chegue a Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli. Explore o Rio Arno e as charmosas ruas de Pisa.",pisa,"Essa rota oferece uma mistura de história, arte, arquitetura e beleza natural, desde os monumentos de Roma até os pontos turísticos icônicos de Pisa. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
roma,"Roma: Inicie sua jornada explorando a Cidade Eterna, visitando o Coliseu, o Fórum Romano, o Vaticano com a Basílica de São Pedro e a Capela Sistina, entre outros pontos turísticos.","Florença: Faça uma parada em Florença, o berço do Renascimento. Explore a Galeria Uffizi, o Duomo, a Ponte Vecchio e aproveite a riqueza artística e cultural da cidade.","Bolonha: Continue para Bolonha, conhecida por suas torres medievais e pela universidade mais antiga do mundo. Explore a Piazza Maggiore, a Fonte de Netuno e saboreie a culinária local.","Verona: Siga para Verona, cidade famosa por ser o cenário de ""Romeu e Julieta"". Visite a Arena de Verona, a Casa de Julieta e a Piazza delle Erbe.","Veneza: Finalmente, chegue a Veneza, a cidade dos canais. Explore a Praça de São Marcos, a Basílica de São Marcos, o Palácio Ducal e faça um passeio de gôndola pelos canais encantadores.",veneza,"Esta rota oferece uma combinação de história, arte, arquitetura e romance, proporcionando uma visão abrangente do norte da Itália, desde a grandiosidade de Roma até a atmosfera única de Veneza. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
roma,"Roma: Comece sua jornada na capital da Itália, explorando os marcos históricos como o Coliseu, o Fórum Romano e a Fontana di Trevi.","Siena: Em seguida, siga para Siena, uma cidade medieval conhecida pela Piazza del Campo e pela Catedral de Siena. Se tiver tempo, aproveite para degustar a culinária local.","San Gimignano: Continue em direção a San Gimignano, uma cidade famosa por suas torres medievais bem preservadas. Explore as ruas estreitas e desfrute da vista panorâmica.","Pisa: Faça uma parada em Pisa para ver a mundialmente famosa Torre Inclinada de Pisa, localizada na Piazza dei Miracoli, juntamente com a Catedral e o Batistério.","Florença: Finalmente, termine sua jornada em Florença, a cidade das artes. Visite a Galeria Uffizi, o Duomo, a Ponte Vecchio e outros pontos turísticos emblemáticos.",florença,"Essa rota oferece uma mistura de história, cultura e arquitetura ao longo do caminho, permitindo que você experimente o melhor da região entre Roma e Florença. Lembre-se de ajustar a rota com base no seu tempo disponível e nos seus interesses específicos."
roma,"Roma: Comece sua jornada na capital italiana, explorando os icônicos locais históricos como o Coliseu, o Vaticano, e a Fontana di Trevi.","Orvieto: Faça uma parada em Orvieto, uma encantadora cidade medieval conhecida por sua catedral impressionante e pelas vistas panorâmicas do campo circundante.","Florença: Siga para Florença, o berço do Renascimento. Explore a Galeria Uffizi, a Ponte Vecchio, a Catedral de Santa Maria del Fiore e outros tesouros artísticos.","Bolonha: Continue em direção a Bolonha, uma cidade famosa por sua arquitetura histórica, suas torres medievais e sua excelente comida. Não deixe de experimentar a autêntica culinária bolonhesa.","Milão: Termine sua jornada em Milão, a capital da moda e do design. Visite a Catedral de Milão, a Galeria Vittorio Emanuele II e aproveite para explorar a cena cultural e de compras da cidade.",milão,"Esta rota oferece uma combinação de história, arte, arquitetura e gastronomia, proporcionando uma experiência abrangente das diversas facetas da Itália ao longo do caminho de Roma a Milão. Lembre-se de ajustar a rota com base no seu tempo disponível e nos seus interesses específicos."
roma,"Roma: Inicie sua jornada na capital italiana, explorando os marcos históricos, como o Coliseu, o Vaticano, a Fontana di Trevi e outros locais emblemáticos.","Tivoli: Faça uma parada em Tivoli para visitar a Villa d'Este, conhecida por seus jardins renascentistas e fontes espetaculares. A Villa Adriana, uma antiga residência imperial romana, também é uma atração significativa.","Frascati: Continue em direção a Frascati, uma cidade nas colinas de Castelli Romani, famosa por sua produção de vinho. Explore a cidade e deguste os vinhos locais.","Caserta: Siga para Caserta para visitar o Palácio Real de Caserta, um impressionante palácio barroco com um extenso jardim. O palácio é um Patrimônio Mundial da UNESCO.","Nápoles: Finalmente, termine sua jornada em Nápoles, uma cidade vibrante conhecida por sua autêntica pizza napolitana, belezas artísticas e culturais, como o Museu Nacional de Arqueologia, e suas características ruas estreitas.",nápoles,"Esta rota oferece uma mistura de história, cultura, arquitetura e experiências gastronômicas, permitindo que você explore alguns dos locais mais fascinantes entre Roma e Nápoles. Lembre-se de ajustar a rota com base no seu tempo disponível e nos seus interesses específicos."
roma,"Roma: Comece sua jornada na capital italiana, explorando os principais pontos turísticos como o Coliseu, o Vaticano e a Fontana di Trevi.","Siena: Faça uma parada em Siena, uma cidade medieval conhecida por sua praça central, a Piazza del Campo, e sua impressionante catedral.","Florença: Continue em direção a Florença, a cidade renascentista, e explore suas galerias de arte, como a Galeria Uffizi, e maravilhas arquitetônicas, como o Duomo.","Pisa: Siga para Pisa para ver a famosa Torre Inclinada, localizada na Piazza dei Miracoli, e aproveite para explorar o resto do conjunto arquitetônico.","Cinque Terre: Finalmente, chegue às Cinque Terre, composta por cinco vilarejos pitorescos à beira-mar: Monterosso al Mare, Vernazza, Corniglia, Manarola e Riomaggiore. Explore as trilhas entre as vilas, desfrute das vistas deslumbrantes do Mar Mediterrâneo e experimente a deliciosa culinária local.",terre,"Esta rota oferece uma combinação de história, arte, arquitetura e beleza natural, proporcionando uma experiência única ao longo do caminho de Roma até as Cinque Terre. Lembre-se de ajustar a rota conforme necessário, dependendo do seu tempo disponível e dos seus interesses específicos."
veneza,"Veneza: Comece sua jornada em Veneza, explorando os canais, a Praça de São Marcos, o Palácio Ducal e a Ponte Rialto.","Pádua: Faça uma parada em Pádua para visitar a Basílica de Santo Antônio, a Capela dos Scrovegni e a Universidade de Pádua, uma das mais antigas do mundo.","Ferrara: Continue em direção a Ferrara, uma cidade medieval com um centro histórico bem preservado. Explore o Castello Estense, a Catedral de Ferrara e as muralhas da cidade.","Bolonha: Siga para Bolonha, famosa por suas torres medievais e pela universidade mais antiga da Europa. Não deixe de experimentar a culinária local, especialmente os famosos pratos de massa.","Florença: Finalmente, termine sua jornada em Florença, explorando os tesouros artísticos da cidade, incluindo a Galeria Uffizi, o Duomo, a Ponte Vecchio e os Jardins de Boboli.",florença,"Esta rota oferece uma variedade de experiências, desde a atmosfera única de Veneza até a rica história e arte de Florença, passando por cidades encantadoras ao longo do caminho. Lembre-se de ajustar a rota com base no seu tempo disponível e nos seus interesses específicos."
veneza,"Veneza: Inicie sua jornada em Veneza, explorando os canais, a Praça de São Marcos, o Palácio Ducal e a Ponte Rialto.","Brescia: Continue em direção a Brescia, uma cidade com uma rica herança histórica. Visite o Castelo de Brescia, o Templo Capitolino e a Catedral Antiga.","Como: Siga para Como, localizada nas margens do Lago Como. Explore o centro histórico, faça um passeio de barco pelo lago e, se tiver tempo, visite a Villa del Balbianello.","Mônaco de Baviera (Monza): Antes de chegar a Milão, faça uma parada em Mônaco de Baviera, também conhecida como Monza. Visite a Catedral de Monza e o Parque de Monza, que inclui a famosa pista de corrida de Fórmula 1.","Milão: Finalmente, termine sua jornada em Milão, a capital da moda e do design. Visite a Catedral de Milão, a Galeria Vittorio Emanuele II, o Teatro alla Scala e aproveite o ambiente cosmopolita da cidade.",milão,"Esta rota oferece uma combinação de história, cultura, beleza natural e urbana, proporcionando uma experiência diversificada ao longo do caminho de Veneza a Milão. Lembre-se de ajustar a rota com base no seu tempo disponível e nos seus interesses específicos."
veneza,"Veneza: Inicie sua jornada em Veneza, explorando os canais, a Praça de São Marcos, o Palácio Ducal e a Ponte Rialto.","Ferrara: Faça uma parada em Ferrara, uma cidade medieval com um centro histórico bem preservado. Explore o Castello Estense, a Catedral de Ferrara e as muralhas da cidade.","Rimini: Continue em direção a Rimini, uma cidade à beira-mar conhecida por suas praias e pela Ponte de Tibério. Visite o centro histórico e aproveite o ambiente à beira-mar.","Assis: Siga para Assis, famosa por ser o local de nascimento de São Francisco. Explore a Basílica de São Francisco, a Basílica de Santa Clara e a encantadora atmosfera medieval.","Nápoles: Finalmente, termine sua jornada em Nápoles, uma cidade vibrante e cheia de história. Explore o centro histórico, visite o Museu Arqueológico Nacional, saboreie a autêntica pizza napolitana e aproveite a atmosfera animada da cidade.",nápoles,"Esta rota oferece uma mistura de história, cultura, paisagens costeiras e experiências gastronômicas, proporcionando uma visão abrangente do que a Itália tem a oferecer no trajeto de Veneza a Nápoles. Lembre-se de ajustar a rota conforme necessário, dependendo do seu tempo disponível e dos seus interesses específicos."
veneza,"Veneza: Inicie sua jornada em Veneza, explorando os canais e os principais pontos turísticos, como a Praça de São Marcos e a Ponte Rialto.","Bolonha: Viaje para Bolonha, uma cidade universitária rica em história e conhecida por sua culinária excepcional. Explore as torres medievais, a Piazza Maggiore e desfrute de uma autêntica refeição bolonhesa.","Pisa: Continue em direção a Pisa para ver a famosa Torre Inclinada, localizada na Piazza dei Miracoli, junto com a Catedral e o Batistério.","Gênova: Siga para Gênova, uma cidade portuária histórica. Visite o Aquário de Gênova, explore o centro histórico (Caruggi) e aproveite a atmosfera à beira-mar.","Cinque Terre: Finalmente, chegue às Cinque Terre e explore as cinco encantadoras vilas à beira-mar: Monterosso al Mare, Vernazza, Corniglia, Manarola e Riomaggiore. Caminhe pelas trilhas que conectam as vilas, aproveite as vistas deslumbrantes do Mar da Ligúria e relaxe nas praias.",terre,"Esta rota oferece uma combinação de cidades históricas, pontos turísticos famosos e a beleza única das Cinque Terre. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
veneza,"Veneza: Inicie sua jornada explorando os encantos de Veneza, passeando pelos canais, visitando a Praça de São Marcos e o Palácio Ducal.","Bolonha: Faça uma parada em Bolonha, conhecida por sua arquitetura medieval, suas torres e por ser um centro gastronômico. Explore a Piazza Maggiore e aproveite a culinária local.","Florença: Continue em direção a Florença, o coração do Renascimento italiano. Visite a Galeria Uffizi, o Duomo, a Ponte Vecchio e os Jardins de Boboli.","Lucca: Siga para Lucca, uma encantadora cidade murada. Caminhe ao longo das muralhas, explore as praças e aprecie a arquitetura medieval.","Pisa: Finalmente, chegue a Pisa para admirar a famosa Torre Inclinada na Piazza dei Miracoli. Explore também a Catedral e o Batistério, além de aproveitar o ambiente descontraído da cidade.",pisa,"Esta rota oferece uma combinação de história, cultura e arquitetura, desde as maravilhas artísticas de Florença até a singularidade da Torre Inclinada de Pisa. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
florença,"Florença: Inicie sua jornada explorando os tesouros artísticos de Florença, como a Galeria Uffizi, o David de Michelangelo na Galleria dell'Accademia, a Catedral de Santa Maria del Fiore e a Ponte Vecchio.","Pisa: Faça uma parada em Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli.","Lucca: Continue para Lucca, uma cidade murada encantadora. Explore as muralhas, as praças históricas e as ruas pitorescas.","Parma: Siga para Parma, conhecida por seu presunto e queijo. Visite a Catedral de Parma, o Batistério e aproveite a culinária local.","Milão: Finalmente, chegue a Milão, a capital da moda e do design. Explore a Catedral de Milão, a Galeria Vittorio Emanuele II, o Teatro alla Scala e aproveite as opções de compras e vida noturna da cidade.",milão,"Essa rota oferece uma variedade de experiências, desde a arte e a história de Florença até as delícias gastronômicas de Parma e Bolonha, culminando na modernidade e elegância de Milão. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
florença,"Florença: Inicie sua jornada explorando os maravilhosos museus, galerias de arte e monumentos renascentistas da cidade, como a Galeria Uffizi, o Duomo, a Ponte Vecchio e os Jardins de Boboli.","Siena: Faça uma parada em Siena, uma cidade medieval conhecida por sua praça em forma de concha, a Piazza del Campo, e a deslumbrante Catedral de Siena.","Assis: Continue em direção a Assis, a cidade natal de São Francisco. Explore a Basílica de São Francisco, a Basílica de Santa Clara e as encantadoras ruas medievais.",Pompeia: Siga para Pompeia para explorar as incríveis ruínas da antiga cidade romana preservada pela erupção do Monte Vesúvio em 79 d.C.,"Nápoles: Finalmente, termine sua jornada em Nápoles, uma cidade rica em história, cultura e, claro, gastronomia. Visite o centro histórico, a Piazza del Plebiscito, o Castelo dell'Ovo e, é claro, experimente a autêntica pizza napolitana.",nápoles,"Esta rota oferece uma combinação de arte, história, arquitetura e experiências gastronômicas, proporcionando uma visão abrangente das belezas do centro e sul da Itália. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
florença,"Florença: Inicie sua jornada explorando os tesouros artísticos de Florença, como a Galeria Uffizi, o Duomo, a Ponte Vecchio e os Jardins de Boboli.","Pisa: Faça uma parada em Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli.","Lucca: Continue para Lucca, uma cidade murada encantadora. Explore as muralhas, as praças históricas e as ruas pitorescas.","La Spezia: Dirija-se a La Spezia, a cidade mais próxima das Cinque Terre. Embora não seja uma das Cinque Terre, La Spezia é uma cidade portuária agradável e um ponto de partida conveniente para explorar a região.","Cinque Terre (Riomaggiore, Manarola, Corniglia, Vernazza, Monterosso al Mare): Finalmente, explore as cinco vilas deslumbrantes das Cinque Terre, conhecidas por suas casas coloridas à beira-mar, trilhas cênicas e vistas deslumbrantes do Mar da Ligúria. Certifique-se de caminhar pelas trilhas costeiras que conectam as vilas.",terre,"Esta rota oferece uma combinação de história, arte e beleza natural, culminando na deslumbrante região costeira das Cinque Terre. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
florença,"Florença: Inicie sua jornada explorando os tesouros artísticos de Florença, como a Galeria Uffizi, o Duomo, a Ponte Vecchio e os Jardins de Boboli.","Empoli: Faça uma breve parada em Empoli, uma cidade com uma atmosfera tranquila e uma praça central encantadora.","Vinci: Continue em direção a Vinci, a cidade natal de Leonardo da Vinci. Visite o Museu Leonardiano e explore a paisagem rural toscana.","San Miniato: Siga para San Miniato, uma cidade conhecida por sua posição estratégica nas colinas toscanas e pela tradição de trufas. Explore o centro histórico e aproveite a vista panorâmica.","Pisa: Finalmente, chegue a Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli. Além disso, explore o Rio Arno e as charmosas ruas de Pisa.",pisa,"Essa rota oferece uma mistura de arte, história, cultura e paisagens toscanas, culminando com a icônica Torre Inclinada de Pisa. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
milão,"Milão: Inicie sua jornada explorando as atrações modernas e históricas de Milão, como a Catedral de Milão, a Galeria Vittorio Emanuele II, o Teatro alla Scala e o Castelo Sforzesco.","Parma: Faça uma parada em Parma, conhecida por seu presunto e queijo. Explore a Catedral de Parma, o Batistério e aproveite para degustar os produtos locais.","Modena: Continue para Modena, famosa por sua arquitetura medieval e gastronomia. Visite a Catedral de Modena, a Torre Ghirlandina e o Palácio Ducal.","Florença: Siga para Florença, o berço do Renascimento. Explore a Galeria Uffizi, o Duomo, a Ponte Vecchio e aproveite a atmosfera cultural da cidade.","Nápoles: Finalmente, termine sua jornada em Nápoles, uma cidade vibrante rica em história, arte e gastronomia. Explore o centro histórico, a Piazza del Plebiscito, o Castelo dell'Ovo e, claro, aproveite a autêntica pizza napolitana.",nápoles,"Essa rota oferece uma combinação de experiências urbanas modernas, tesouros históricos e a rica cultura gastronômica italiana. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."
milão,"Milão: Inicie sua jornada explorando as atrações modernas e históricas de Milão, como a Catedral de Milão, a Galeria Vittorio Emanuele II, o Teatro alla Scala e o Castelo Sforzesco.","Bolonha: Faça uma parada em Bolonha, uma cidade famosa por suas torres medievais e pela universidade mais antiga do mundo. Explore a Piazza Maggiore, a Fonte de Netuno e a Basílica de São Petrônio.","Florença: Continue para Florença, o berço do Renascimento. Explore a Galeria Uffizi, o Duomo, a Ponte Vecchio e aproveite a atmosfera cultural da cidade.","Pisa: Siga para Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli.","Cinque Terre (Riomaggiore, Manarola, Corniglia, Vernazza, Monterosso al Mare): Finalmente, chegue às Cinque Terre e explore as cinco vilas deslumbrantes à beira-mar. Caminhe pelas trilhas costeiras que conectam as vilas, desfrute das vistas panorâmicas e relaxe nas praias.",terre,"Essa rota oferece uma mistura de experiências urbanas, culturais e naturais, culminando na beleza única das Cinque Terre. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
milão,"Milão: Inicie sua jornada explorando as atrações modernas e históricas de Milão, como a Catedral de Milão, a Galeria Vittorio Emanuele II, o Teatro alla Scala e o Castelo Sforzesco.","Parma: Faça uma parada em Parma, conhecida por seu presunto e queijo. Explore a Catedral de Parma, o Batistério e aproveite para degustar os produtos locais.","Modena: Continue para Modena, famosa por sua arquitetura medieval e gastronomia. Visite a Catedral de Modena, a Torre Ghirlandina e o Palácio Ducal.","Bolonha: Siga para Bolonha, uma cidade famosa por suas torres medievais e pela universidade mais antiga do mundo. Explore a Piazza Maggiore, a Fonte de Netuno e a Basílica de São Petrônio.","Pisa: Finalmente, chegue a Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli. Além disso, explore o Rio Arno e as charmosas ruas de Pisa.",pisa,"Essa rota oferece uma mistura de história, cultura e culinária, culminando com a icônica Torre Inclinada de Pisa. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
nápoles,"Nápoles: Inicie sua jornada em Nápoles, explorando o centro histórico, a Piazza del Plebiscito, o Castelo dell'Ovo e saboreando a autêntica pizza napolitana.","Pompéia: Faça uma parada em Pompéia para explorar as incríveis ruínas da antiga cidade romana, que foi preservada pela erupção do Monte Vesúvio em 79 d.C.","Sorrento: Siga para Sorrento, uma cidade costeira famosa por suas vistas deslumbrantes sobre o Golfo de Nápoles. Explore o centro histórico, visite a Villa Comunale e aproveite o limoncello local.","Positano: Continue ao longo da Costa Amalfitana até Positano, uma vila à beira-mar conhecida por suas casas coloridas, praias encantadoras e ruas estreitas. Aproveite para relaxar à beira-mar.","Cinque Terre (Riomaggiore, Manarola, Corniglia, Vernazza, Monterosso al Mare): Finalmente, chegue às Cinque Terre e explore as cinco vilas deslumbrantes à beira-mar. Caminhe pelas trilhas costeiras que conectam as vilas, desfrute das vistas panorâmicas e relaxe nas praias.",cinque-terre,"Essa rota oferece uma combinação de história, beleza natural e cultura italiana, desde as antigas ruínas de Pompéia até as encantadoras vilas à beira-mar das Cinque Terre. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível."
nápoles,"Nápoles: Inicie sua jornada explorando o centro histórico de Nápoles, a Piazza del Plebiscito, o Castelo dell'Ovo e saboreando a autêntica pizza napolitana.","Pompéia: Faça uma parada em Pompéia para explorar as incríveis ruínas da antiga cidade romana, preservada pela erupção do Monte Vesúvio em 79 d.C.","Sorrento: Siga para Sorrento, uma cidade costeira famosa por suas vistas deslumbrantes sobre o Golfo de Nápoles. Explore o centro histórico, a Villa Comunale e aproveite o ambiente encantador.","Positano: Continue ao longo da Costa Amalfitana até Positano, uma vila à beira-mar conhecida por suas casas coloridas, praias encantadoras e ruas estreitas. Aproveite para relaxar e apreciar a beleza do local.","Pisa: Finalmente, chegue a Pisa para ver a famosa Torre Inclinada, a Catedral e o Batistério na Piazza dei Miracoli. Explore o Rio Arno e as charmosas ruas de Pisa.",pisa,"Essa rota oferece uma combinação de história, beleza natural e cultura italiana, desde as antigas ruínas de Pompéia até os marcos icônicos de Pisa. Lembre-se de ajustar a rota conforme suas preferências e tempo disponível"
cinque,"Monterosso al Mare (Cinque Terre): Inicie sua jornada na vila costeira de Monterosso al Mare, uma das Cinque Terre. Explore as praias, as ruas estreitas e aproveite a atmosfera única da vila.","Vernazza (Cinque Terre): Siga para Vernazza, outra encantadora vila das Cinque Terre. Explore o porto, a torre e as vielas pitorescas.","Corniglia (Cinque Terre): Continue até Corniglia, a única vila das Cinque Terre que não está diretamente à beira-mar. Suba as escadas para chegar à cidade e aproveite as vistas panorâmicas","Manarola (Cinque Terre): Prossiga para Manarola, conhecida por suas casas coloridas à beira-mar. Explore as ruas estreitas e desfrute de vistas espetaculares.","Pisa: Por fim, dirija-se a Pisa para visitar a famosa Piazza dei Miracoli, onde estão a Torre Inclinada, a Catedral e o Batistério. Explore o centro histórico, o Rio Arno e aprecie a arquitetura única da cidade.",pisa,"Essa rota oferece uma experiência incrível das Cinque Terre, seguida pela oportunidade de explorar os monumentos icônicos de Pisa. Lembre-se de ajustar a rota de acordo com suas preferências e tempo disponível."