nome,lugar,preco,rua,vegetariano/vegano
That´s Amore Barvecue,Roma,R$ 49 - R$ 392,Via Soriso 13 00166,não
Bono Bottega Nostrana - San Pietro,Roma,R$ 16 - R$ 79,Via di Porta Cavalleggeri 109/111 00165,sim
La Fata Ignorante - Rooftop Restaurant & Bar,Roma,R$ 210 - R$ 394,Via Firenze 8 00184,sim
Al Grill,Veneza,R$ 122 - R$ 294,Santa Croce 2097 30135,não
Impronta,Veneza,R$ 210 - R$ 473,Sestiere Dorsoduro 3815 30123,não
Osteria Al Vecio Forno,Veneza,R$ 79 - R$ 158,Sestiere Dorsoduro 3924 Ponte della Donna Onesta 30123,sim
Indian Palace,Florença,R$ 53 - R$ 131,Via Guelfa 96R 50129,sim
Osteria Vecchio Cancello 2,Florença,R$ 39 - R$ 167,Via de' Macci 74r angolo Via dell'Agnolo 50122,não
Ristorante Taj Palace,Florença,R$ 42 - R$ 95,Via Il Prato 9/R 50123,sim
Cantine Milano,Milão,R$ 263 - R$ 526,Via Trau' 1 Tra Piazzale Lagosta e Piazzale Segrino 20159,sim
Marea Seafood & Beverage,Milão,R$ 125 - R$ 537,Via Papa Gregorio XIV 16 20123,não
Nàpiz' Milano,Milão,R$ 26 - R$ 63,Viale Vittorio Veneto 30 20124,sim
Re Pazzo - pizza & sfizi,Nápoles,R$ 44 - R$ 73,Via Amerigo Vespucci 138 Via Amerigo Vespucci 133 80142,não
Aquarium Restaurant,Nápoles,R$ 53 - R$ 526,Riviera Di Chiaia 100 Napoli Napoli,não
Antichi Sapori Partenopei,Nápoles,R$ 50 - R$ 83,Via Chiaia 124 di fronte al Teatro Sannazaro 80121,sim
Old School Riomaggiore - Cocktails & Food,Cinque Terre,R$ 18 - R$ 43,Via Lino Pecunia 110 19017,sim 
Nessun Dorma Cinque Terre,Cinque Terre,R$ 26 - R$ 184,Punta Bonfiglio 19017,sim
L'Ancora della Tortuga,Cinque Terre,R$ 46 - R$ 254,Salita Cappuccini 4 19016,sim
Cantina Vasari,Pisa,R$ 105 - R$ 263,Via Dei Mille 3/5 Near to the Tower of Pisa 56126,sim
Quarto D'ora Italiano,Pisa,R$ 26 - R$ 79,Via Santa Maria 117 56126,sim
Bistrot San Frediano,Pisa,R$ 53 - R$ 158,Piazza San Frediano 12 56126,sim